transition,source,destination,seed,sample,performanceSeconds,steps,occupiedFraction,activity,changeRate,centroidU,centroidV
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000011,4,25.000,7000,0.049725,1.217773e-3,1.947216e-5,0.4958,0.5020
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000011,5,30.000,7600,0.061813,1.514103e-3,2.196998e-5,0.4948,0.5018
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000011,6,35.000,8200,0.075027,1.832403e-3,2.389053e-5,0.4949,0.5020
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000011,7,40.000,8800,0.088806,2.160631e-3,2.711574e-5,0.4949,0.5000
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000011,8,45.000,9400,0.103184,2.523320e-3,3.152135e-5,0.4939,0.5001
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000011,9,50.000,10000,0.121269,2.962430e-3,3.584053e-5,0.4941,0.4998
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000011,10,55.000,10600,0.138092,3.376757e-3,3.695889e-5,0.4940,0.4990
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000011,11,60.000,11200,0.158405,3.869355e-3,4.049179e-5,0.4934,0.4986
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,0,5.000,4600,0.019375,4.727556e-4,8.335271e-6,0.4955,0.5022
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,1,10.000,5200,0.023457,5.702650e-4,9.432729e-6,0.4954,0.5022
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,2,15.000,5800,0.031620,7.588780e-4,1.540268e-5,0.4953,0.5021
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,3,20.000,6400,0.039959,9.769327e-4,1.623162e-5,0.4949,0.5023
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,4,25.000,7000,0.049229,1.209193e-3,1.813450e-5,0.4943,0.5021
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,5,30.000,7600,0.059719,1.469992e-3,2.241112e-5,0.4948,0.5027
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,6,35.000,8200,0.072521,1.779887e-3,2.463671e-5,0.4954,0.5028
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,7,40.000,8800,0.085960,2.115724e-3,2.706415e-5,0.4963,0.5027
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,8,45.000,9400,0.100391,2.466160e-3,3.100872e-5,0.4969,0.5025
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,9,50.000,10000,0.117779,2.887049e-3,3.547009e-5,0.4980,0.5033
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,10,55.000,10600,0.135418,3.312379e-3,3.704376e-5,0.4979,0.5036
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000022,11,60.000,11200,0.154366,3.770716e-3,4.138242e-5,0.4999,0.5044
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,0,5.000,4600,0.019485,4.738296e-4,8.408370e-6,0.5018,0.5019
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,1,10.000,5200,0.023403,5.689198e-4,9.395683e-6,0.5019,0.5020
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,2,15.000,5800,0.031384,7.603294e-4,1.565724e-5,0.5019,0.5021
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,3,20.000,6400,0.039917,9.765839e-4,1.621494e-5,0.5021,0.5021
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,4,25.000,7000,0.049061,1.207614e-3,1.734312e-5,0.5020,0.5023
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,5,30.000,7600,0.059361,1.459925e-3,2.136427e-5,0.5018,0.5027
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,6,35.000,8200,0.071709,1.759564e-3,2.386565e-5,0.5017,0.5022
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,7,40.000,8800,0.085178,2.086537e-3,2.498885e-5,0.5018,0.5016
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,8,45.000,9400,0.099754,2.438521e-3,2.766616e-5,0.5011,0.5014
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,9,50.000,10000,0.115849,2.840610e-3,3.325102e-5,0.5021,0.5008
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,10,55.000,10600,0.132565,3.249809e-3,3.633001e-5,0.5018,0.5001
02-nucleation-to-cellular-growth,nucleation,cellular-growth,11000033,11,60.000,11200,0.152020,3.725654e-3,3.916843e-5,0.5021,0.4993
03-cellular-growth-to-replication,cellular-growth,replication,11000011,0,5.000,4600,0.035450,9.330985e-4,1.575759e-5,0.4967,0.5017
03-cellular-growth-to-replication,cellular-growth,replication,11000011,1,10.000,5200,0.046467,1.220901e-3,1.716858e-5,0.4967,0.5018
03-cellular-growth-to-replication,cellular-growth,replication,11000011,2,15.000,5800,0.057114,1.493611e-3,1.813328e-5,0.4967,0.5017
03-cellular-growth-to-replication,cellular-growth,replication,11000011,3,20.000,6400,0.069229,1.819243e-3,2.197552e-5,0.4966,0.5018
03-cellular-growth-to-replication,cellular-growth,replication,11000011,4,25.000,7000,0.085537,2.246808e-3,2.414600e-5,0.4967,0.5017
03-cellular-growth-to-replication,cellular-growth,replication,11000011,5,30.000,7600,0.100395,2.630829e-3,2.525825e-5,0.4965,0.5017
03-cellular-growth-to-replication,cellular-growth,replication,11000011,6,35.000,8200,0.115555,3.039551e-3,2.906902e-5,0.4968,0.5014
03-cellular-growth-to-replication,cellular-growth,replication,11000011,7,40.000,8800,0.135612,3.575401e-3,3.384373e-5,0.4965,0.5013
03-cellular-growth-to-replication,cellular-growth,replication,11000011,8,45.000,9400,0.154209,4.045054e-3,3.184135e-5,0.4966,0.5008
03-cellular-growth-to-replication,cellular-growth,replication,11000011,9,50.000,10000,0.171856,4.507149e-3,3.417466e-5,0.4965,0.5006
03-cellular-growth-to-replication,cellular-growth,replication,11000011,10,55.000,10600,0.194893,5.104326e-3,4.085506e-5,0.4964,0.5004
03-cellular-growth-to-replication,cellular-growth,replication,11000011,11,60.000,11200,0.217892,5.723271e-3,4.117568e-5,0.4961,0.4996
03-cellular-growth-to-replication,cellular-growth,replication,11000022,0,5.000,4600,0.035599,9.363014e-4,1.578976e-5,0.4956,0.5018
03-cellular-growth-to-replication,cellular-growth,replication,11000022,1,10.000,5200,0.046410,1.219995e-3,1.696228e-5,0.4954,0.5019
03-cellular-growth-to-replication,cellular-growth,replication,11000022,2,15.000,5800,0.056854,1.489559e-3,1.847350e-5,0.4955,0.5019
03-cellular-growth-to-replication,cellular-growth,replication,11000022,3,20.000,6400,0.069366,1.826218e-3,2.271963e-5,0.4954,0.5019
03-cellular-growth-to-replication,cellular-growth,replication,11000022,4,25.000,7000,0.085690,2.259014e-3,2.381181e-5,0.4955,0.5019
03-cellular-growth-to-replication,cellular-growth,replication,11000022,5,30.000,7600,0.100876,2.641503e-3,2.400660e-5,0.4956,0.5020
03-cellular-growth-to-replication,cellular-growth,replication,11000022,6,35.000,8200,0.115826,3.038714e-3,2.902244e-5,0.4956,0.5019
03-cellular-growth-to-replication,cellular-growth,replication,11000022,7,40.000,8800,0.135391,3.567426e-3,3.553063e-5,0.4955,0.5019
03-cellular-growth-to-replication,cellular-growth,replication,11000022,8,45.000,9400,0.155201,4.073914e-3,3.161930e-5,0.4955,0.5019
03-cellular-growth-to-replication,cellular-growth,replication,11000022,9,50.000,10000,0.173222,4.545658e-3,3.614597e-5,0.4957,0.5020
03-cellular-growth-to-replication,cellular-growth,replication,11000022,10,55.000,10600,0.196564,5.158671e-3,4.231479e-5,0.4957,0.5020
03-cellular-growth-to-replication,cellular-growth,replication,11000022,11,60.000,11200,0.220589,5.785192e-3,4.279692e-5,0.4955,0.5019
03-cellular-growth-to-replication,cellular-growth,replication,11000033,0,5.000,4600,0.035480,9.360021e-4,1.583078e-5,0.5020,0.5023
03-cellular-growth-to-replication,cellular-growth,replication,11000033,1,10.000,5200,0.046478,1.220408e-3,1.709051e-5,0.5020,0.5022
